date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:37:43	51005/51005	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2022:24:36%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html	(from )
01:37:44	2149/2149	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Apr%202024%2006:37:36%20GMT	https://demos.creative-tim.com/robots.txt		(from )
01:37:44	373/373	---M--	200	added ('OK')	image/png	etag:%2262d1e924-329%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:44	373/373	---M--	200	added ('OK')	image/png	etag:%2262d1e924-329%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:45	6612/6612	---MCZ	200	added ('OK')	text/css	etag:W/%2262d1e924-2337%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-icons.css	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:45	1113/1113	---MCZ	200	added ('OK')	text/css	etag:W/%2262d1e924-8cd%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-svg.css	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:45	352246/352246	---M--	200	added ('OK')	image/jpeg	etag:%2246fd1d0355e259b321f6e5841f26a854%22	https://s3.amazonaws.com/creativetim_bucket/products/137/original/argon-dashboard-pro.jpg	C:/My%20Web%20Sites/pedidos/s3.amazonaws.com/creativetim_bucket/products/137/original/argon-dashboard-pro.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:45	11892/11892	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2003%20Apr%202024%2006:37:38%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/My%20Web%20Sites/pedidos/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:46	500400/500400	---M-Z	200	added ('OK')	text/css	etag:W/%2262d1e924-7a2b0%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon-dashboard.min.css?v=2.0.5	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/css/argon-dashboard.min9c7f.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:46	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/pedidos/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2003%20Apr%202024%2006:37:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/pedidos/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:47	3182/3182	---M--	200	added ('OK')	image/png	etag:%2262d1e924-1b2c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/logo-ct-dark.png	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/img/logo-ct-dark.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:47	53580/53580	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2022:24:36%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/new-product.html	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/new-product.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:47	63707/63707	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2022:24:36%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/product-page.html	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/product-page.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:47	63415/63415	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2022:24:36%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/products-list.html	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/products-list.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:48	16940/16940	---M--	200	added ('OK')	image/jpeg	etag:%2262d1e924-422c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/team-2.jpg	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/img/team-2.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:48	17208/17208	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202024%2006:37:41%20GMT	https://raw.githubusercontent.com/creativetimofficial/public-assets/master/argon-dashboard-pro/assets/img/product-page.jpg	C:/My%20Web%20Sites/pedidos/raw.githubusercontent.com/creativetimofficial/public-assets/master/argon-dashboard-pro/assets/img/product-page.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:48	19727/19727	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262d1e924-4d0f%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/core/popper.min.js	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/js/core/popper.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:48	60013/60013	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262d1e924-ea6d%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/core/bootstrap.min.js	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/js/core/bootstrap.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:49	19411/19411	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262d1e924-4bd3%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/plugins/perfect-scrollbar.min.js	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/js/plugins/perfect-scrollbar.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
01:37:49	48421/48421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262d1e924-bd25%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/js/plugins/smooth-scrollbar.min.js	C:/My%20Web%20Sites/pedidos/demos.creative-tim.com/argon-dashboard-pro/assets/js/plugins/smooth-scrollbar.min.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/ecommerce/products/edit-product.html)
